Name,Cuisine,Location,Service Method,Does Curbside Pick-Up?,Address,City,Zip Code,Region,Hours,Phone,Website,details
Darbar,"Indian, Pakistani",Nob Hill (S.F),Delivery & Takeout,No,1412 Polk St.,San Francisco,N/A,San Francisco,"11:30 a.m.-3 p.m., 5-10 p.m. daily",415-359-1236,www.darbarsf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Dark Horse Inn,American,Excelsior (S.F.),Delivery & Takeout,No,942 Geneva Ave.,San Francisco,N/A,San Francisco,5-10 p.m. Tuesday-Saturday; 1-9 p.m. Sunday,415-469-5508,www.darkhorsesf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Daughter Thai,Thai,Oakland,Delivery & Takeout,No,6118 Medau Place,Oakland,N/A,East Bay,Lunch and dinner daily,510-823-2354,www.daughterthai.com,$10 off $60; $20 off $120. Kids under 8 eat free.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Dead Eye Coffee Bar,Coffee,South San Francisco,Takeout,No,"415 Grand Ave., Ste. 100",South San Francisco,N/A,Peninsula,7 a.m.-1 p.m. Monday-Friday; 8 a.m.-1 p.m. Saturday and Sunday,650-741-6619,www.deadeyecoffeebar.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
DecantSF,"Wine, Charcuterie",SoMa (S.F.),Delivery & Takeout,No,1168 Folsom St.,San Francisco,N/A,San Francisco,"Noon-6 p.m., Tuesday-Saturday",415-913-7256,shop.decantsf.com,Delivery to San Francisco only; with broader shipping available online.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Del Popolo,Pizza,Downtown (S.F.),Takeout,No,855 Bush St.,San Francisco,N/A,San Francisco,5-8:30 p.m. Tuesday-Thursday; 5-9 p.m. Friday and Saturday,415-589-7940,www.toasttab.com/del-popolo/v3,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Delarosa,Pizza,Marina (S.F.),Delivery & Takeout,Yes,2175 Chestnut St.,San Francisco,N/A,San Francisco,Noon-8 p.m. daily,415-673-7100,www.delarosasf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Delarosa,Pizza,San Ramon,Takeout,No,City Center Bishop Ranch,San Ramon,N/A,East Bay,Noon-8 p.m. daily,925-787-0044,www.delarosasf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Delfina,Pizza,Pacific Heights (S.F.),Delivery & Takeout,No,2406 California St.,San Francisco,N/A,San Francisco,Noon-9 p.m. daily,415-440-1989,pizzeriadelfina.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Deli Board,Deli,SoMa (S.F.),Takeout,No,1058 Folsom St.,San Francisco,N/A,San Francisco,11 a.m.-3 p.m. Monday-Friday; 11 a.m.-4 p.m. Saturday,415-552-7687,www.deliboardsf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Delica,Japanese,Embarcadero (S.F.),Delivery & Takeout,No,1 Ferry Building,San Francisco,N/A,San Francisco,10 a.m.-7 p.m. Monday-Friday; 9 a.m.-6 p.m. Saturday; 10 a.m.-6 p.m. Sunday,415-834-0344,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Delicious Dim Sum,Chinese,Chinatown (S.F.),Takeout,No,752 Jackson St.,San Francisco,N/A,San Francisco,7:30 a.m.-4:30 p.m. Thursday-Tuesday,415-781-0721,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Devil's Teeth Baking Co.,Bakery,Sunset (S.F.),Delivery & Takeout,No,3876 Noriega St.,San Francisco,N/A,San Francisco,7 a.m.-4 p.m. daily,415-683-5533,www.devilsteethbakingcompany.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Devil's Teeth Baking Co.,Bakery,Richmond (S.F.),Delivery & Takeout,No,3619 Balboa St.,San Francisco,N/A,San Francisco,7 a.m.-4 p.m. daily,628-207-7122,www.devilsteethbakingcompany.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Diamond Cafe,American,Noe Valley (S.F.),Takeout,No,751 Diamond St.,San Franciso,N/A,San Francisco,7 a.m.-2 p.m. daily,415-655-3674,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Dim Sum Corner,Chinese,Chinatown (S.F.),Delivery & Takeout,No,601 Grant Ave.,San Francisco,N/A,San Francisco,"11:30 a.m.-2:30 p.m., 5:30-8:30 p.m. daily",415-362-1118,www.dimsumcornersf.com/,Email info@dimsumcornersf.com for any takeout and delivery order.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Ding Tea,Bubble Tea,Newark,Takeout,Yes,"6180 Jervis Ave., Ste. W",Newark,N/A,East Bay,Noon-6 p.m. daily,510-648-2415,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Dispensa,Italian,Tenderloin (S.F.),Takeout,No,39 Taylor St.,San Francisco,N/A,San Francisco,Noon-7 p.m. daily,415-896-4021,www.dispensasf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Divino,Italian,Belmont,Takeout,No,968 Ralston Ave.,Belmont,N/A,Peninsula,5-7 p.m. daily,650-620-9102,www.divinobelmont.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
DJ's Chinese,Chinese,Larkspur,Takeout,No,435 Magnolia Ave.,Larkspur,N/A,North Bay,"11:30 a.m.-2:30 p.m., 4:30-9:30 p.m. Tuesday-Sunday",415-924-0717,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
DNA Lounge,Pizza,SoMa (S.F.),Delivery & Takeout,No,375 11th St.,San Francisco,N/A,San Francisco,Dinner nightly,415-626-4337,www.dnapizza.com,Call or order online via pizzaorders@dnapizza.com.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Dobbs Ferry,American,Hayes Valley (S.F.),Takeout,No,406 Hayes St.,San Francisco,N/A,San Francisco,5-8 p.m. Tuesday-Friday,917-319-3177,www.dobbsferrysf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Dolores Park Cafe,American,Mission Dolores (S.F.),Delivery & Takeout,Yes,501 Dolores St.,San Francisco,N/A,San Francisco,8 a.m.-4 p.m. daily,415-621-2936,www.doloresparkcafe.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Doma,Japanese,Bernal Heights (S.F.),Takeout,No,433 Precita Ave.,San Francisco,N/A,San Francisco,Noon-7 p.m. Sunday-Saturday,415-648-4417,N/A,3-4 set menus per day.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Domenico Winery and Osteria,Italian,San Carlos,Delivery & Takeout,Yes,1697 Industrial Rd.,San Carlos,N/A,Peninsula,4-7 p.m. Wednesday-Friday; noon-7 p.m. Saturday and Sunday,650-226-5420,www.domenicowinery.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Don Ramon's Mexican Restaurante,Mexican,SoMa (S.F.),Delivery & Takeout,No,225 11th St.,San Francisco,N/A,San Francisco,"11:30 a.m.-1:30 p.m., 5-8 p.m. daily",415-864-2700,www.donramonsrestaurante.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Doña Teres,Mexican,Mission (S.F.),Takeout,No,2780 21st St.,San Francisco,N/A,San Francisco,11 a.m.-11 p.m. daily,415-401-8031,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Donato & Co.,Italian,Berkeley,Takeout,No,2635 Ashby Ave.,Berkeley,N/A,East Bay,Noon-7 p.m. daily,510-838-1131,www.donatoandco.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Donatos,Italian,Redwood City,Delivery & Takeout,No,1041 Middlefield Rd.,Redwood City,N/A,Peninsula,11 a.m.-9 p.m. daily,650-701-1000,www.donatoenoteca.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Dopo,Italian,Piedmont (Oak),Delivery & Takeout,No,4293 Piedmont Ave.,Oakland,N/A,East Bay,Noon-8 p.m. Tuesday-Saturday,510-652-3676,www.dopoadesso.com,Call or order online.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Dosa Point,Indian,Menlo Park,Delivery & Takeout,No,840 Willow Rd.,Menlo Park,N/A,Peninsula,"11 a.m.-2:30 p.m., 5-9 p.m. Wednesday-Sunday",650-405-7400,www.dosapoint.co/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Dough,Pizza,SoMa (S.F.),Delivery & Takeout,No,1455 Market St. #3C,San Francisco,N/A,San Francisco,7:30 a.m.-3 p.m. daily,415-864-0888,www.ubereats.com/san-francisco/food-delivery/dough/w2C-9TOhQHa4WDsp-HlTxQ,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Doyle Street Cafe,American,Emeryville,Takeout,No,"5515 Doyle St., Ste. 10",Emeryville,N/A,East Bay,9 a.m-2 p.m. daily,510-547-3552,www.doylestreetcafe.com/,"Call in order, pay over the phone and pick up outside on table by first name and last four digits of cell phone number.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Dozo Izakaya,Japanese,Foster City,Delivery & Takeout,No,3 Plaza View Ln. Ste. O,Foster City,N/A,Peninsula,"Noon-2 p.m., 5:30-9 p.m. daily",650-358-8889,www.dozo-izakaya.com,"20% off menu, limited time only. 5-mile delivery radius.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Dragon Beaux,"Chinese, Dim Sum",Richmond (S.F.),Delivery & Takeout,No,5700 Geary Blvd.,San Francisco,N/A,San Francisco,"11 a.m.-3 p.m., 5-8 p.m. daily",415-333-8899,www.dragonbeaux.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Dragon Rouge Bistro Alameda,Vietnamese,Alameda,Takeout,No,2337 Blanding Ave.,Alameda,N/A,East Bay,11 a.m.-9 p.m. daily,510-521-1800,www.dragonrougebythebay.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Dragon Well,Pan-Asian,Marina (S.F.),Takeout,Yes,2142 Chestnut St.,San Francisco,N/A,San Francisco,"11:30-3 p.m. 5-10 p.m. daily, closed Tuesday",415-474-6888,www.dragonwell.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Duboce Park Cafe,American,Duboce Triangle (S.F.),Delivery & Takeout,Yes,2 Sanchez St.,San Francisco,N/A,San Francisco,Breakfast and lunch daily,415-621-1108,www.duboceparkcafe.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Duende,Spanish,Oakland,Delivery & Takeout,No,468 19th St.,Oakland,N/A,East Bay,5-9 p.m. Wednesday-Sunday,510-893-0174,www.duendeoakland.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Dumpling House,"Chinese, Dim Sum",Castro (S.F.),Delivery & Takeout,No,335 Noe St.,San Francisco,N/A,San Francisco,"11 a.m.-2:30 p.m., 5-9:30 p.m. daily",415-829-2789,www.dumplinghouse.us/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Dumpling Time,"Chinese, Dim Sum",Design District (S.F.),Delivery & Takeout,No,11 Division St.,San Francisco,N/A,San Francisco,11 a.m.-8 p.m. Tuesday-Sunday,415-525-4797,www.dumplingtimesf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Dyafa,Middle Eastern,Jack London (Oak),Delivery & Takeout,No,98 Broadway,Oakland,N/A,East Bay,1-8 p.m. daily,510-817-0980,www.plankoakland.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Dynamo Donuts,Doughnuts,Mission (S.F.),Delivery & Takeout,No,2760 24th St.,San Francisco,N/A,San Francisco,7 a.m.-5 p.m. Tuesday-Saturday; 9 a.m.-4 p.m. Sunday; 7 a.m.-11 a.m. Monday,415-920-1978,www.dynamodonut.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
E Tea,Bubble Tea,Richmond (S.F.),Delivery & Takeout,No,5344 Geary Blvd.,San Francisco,N/A,San Francisco,11 a.m.-8 p.m. Monday-Sunday,415-668-5344,www.eteasf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Eagle Pizzeria,Pizza,Sunset (S.F.),Delivery & Takeout,No,1712 Taraval St.,San Francisco,N/A,San Francisco,"2-10 p.m. Wednesday-Friday, noon-10 p.m. Saturday, 2-9 p.m. Sunday",415-566-3113,www.eaglepizzeria.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
East Ocean Seafood Restaurant,Chinese,Alameda,Delivery & Takeout,No,1713 Webster St.,Alameda,N/A,East Bay,"11 a.m.-3 p.m., 5-8 p.m. daily",510-865-3381,www.eastoceanseafoodrestaurant.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Easy Breezy Frozen Yogurt,Frozen Yogurt,Noe Valley (S.F.),Delivery & Takeout,No,4029 24th St.,San Francisco,N/A,San Francisco,1-9 p.m. daily,415-932-6084,www.easy-breezy.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Easy Creole,Creole,Berkeley,Delivery & Takeout,No,1761 Alcatraz Ave.,Berkeley,N/A,East Bay,"Lunch and dinner Tuesday-Sunday, dinner Monday",510-858-5063,www.easycreole.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Eat Americana,American,Richmond (S.F.),Takeout,No,3532 Balboa St.,San Francisco,N/A,San Francisco,"10 a.m.-3 p.m., 5-10 p.m. daily",415-387-2893,www.eatamericana.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Eko Kitchen,Nigerian,SoMa (S.F.),Delivery,No,167 11th St.,San Francisco,N/A,San Francisco,Contact for info,410-344-3362,www.ekokitchensf.online,Call or email ekokitchensf@gmail.com to order.,https://projects.sfchronicle.com/2020/restaurant-delivery/
El Huarache Loco,Mexican,Larkspur,Delivery & Takeout,No,1803 Larkspur Landing Circle,Larkspur,N/A,North Bay,8 a.m.-8 p.m. Sunday-Thursday; 8 a.m.-9 p.m. Friday and Saturday,415-925-1403,www.huaracheloco.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
El Metate,Mexican,Mission (S.F.),Takeout,No,2406 Bryant St.,San Francisco,N/A,San Francisco,10 a.m.-10 p.m. daily,415-641-7209,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
El Mono,Peruvian,El Cerrito,Delivery & Takeout,No,10264 San Pablo Ave.,El Cerrito,N/A,East Bay,"Noon-3 p.m., 5-9 p.m. Tuesday-Saturday; noon-3 p.m., 5-8 p.m. Sunday",510-778-8884,www.elmonofresh.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
El Nido,Mexican,Danville,Delivery & Takeout,Yes,107A Town and Country Dr.,Danville,N/A,East Bay,4-8 p.m. Tuesday-Friday; noon-7 p.m. Saturday,925-820-5330,www.elnidodanville.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
El Patio,Latin American,Berkeley,Takeout,No,2056 San Pablo Ave.,Berkeley,N/A,East Bay,Call for hours,510-548-2222,www.elpatio510.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
El Pollo Supremo,Mexican,Mission (S.F.),Takeout,No,5210 Mission St.,San Francisco,N/A,San Francisco,11 a.m.-9 p.m. daily,415-337-5750,www.elpollosupremoca.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
El Porteno Empanadas at The Ferry Building,Authentic Argentinian Empanadas,Embarcadero (S.F.),Delivery,No,1 Ferry Building,San Francisco,N/A,San Francisco,7 a.m.-8 p.m. Monday-Saturday; 8 a.m.-7 p.m. Sunday,415-513-4529,N/A,"El Porteño will continue to offer takeout service at the Ferry Building and free delivery service to residents in San Francisco, the East Bay, and the Peninsula. Delivery will be no-contact, with a sealed box of eight fully cooked, frozen empanadas left at your door. Choose from an assortment box or meat and vegetarian options.",https://projects.sfchronicle.com/2020/restaurant-delivery/
El Sur,Argentinian,Potrero Hill (S.F.),Delivery,No,300 De Haro St. #342,San Francisco,N/A,San Francisco,All day,415-530-2803,www.squareup.com/store/el-sur/item/assorted-pack-frozen,Free delivery anywhere in SF Bay Area if you buy a 24 pack of frozen empanadas.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Eliza's Restaurant,Chinese,Pacific Heights (S.F.),Delivery & Takeout,No,2877 California St.,San Francisco,N/A,San Francisco,"11 a.m.-3 p.m., 5-9 p.m. daily",415-621-4819,www.elizas-restaurant.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Emmy's,Italian,Bernal Heights (S.F.),Delivery & Takeout,No,3230 Mission St.,San Francisco,N/A,San Francisco,4-8 p.m. daily,415-206-2086,www.emmysspaghettishack.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Enjoy Vegetarian Restaurant,"Chinese, Vegetarian",Financial District (S.F.),Delivery & Takeout,No,839 Kearny St.,San Francisco,N/A,San Francisco,"11 a.m.-2:30 p.m., 5-9 p.m. Tuesday-Sunday",415-956-7868,www.enjoyveggie.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Enjoy Vegetarian Restaurant,"Chinese, Vegetarian",Sunset (S.F.),Delivery & Takeout,No,754 Kirkham St. #3619,San Francisco,N/A,San Francisco,"11 a.m.-2:30 p.m., 5-9 p.m. Tuesday-Sunday",415-682-0826,www.enjoyveggie.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Ensarro Ethiopian,Ethiopian,Oakland,Takeout,No,357-A Grand Ave.,Oakland,N/A,East Bay,11:30 a.m.-10 p.m. Wednesday-Monday,510-238-9050,www.enssaro.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Escape From New York Pizza,Pizza,Haight (S.F.),Delivery & Takeout,No,1737 Haight St.,San Francisco,N/A,San Francisco,"10:45 a.m.-10 p.m. Sunday-Thursday, 10:45 a.m.-midnight Friday and Saturday",415-668-5577,www.escapefromnewyorkpizza.com/home/haight/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Esposto's Delicatezza,Deli,Mission Bay (S.F.),Delivery & Takeout,Yes,1700 Owens St.,San Francisco,N/A,San Francisco,11 a.m.-4 p.m. Monday-Friday,415-926-5913,www.espostosdelicatezza.com,Order online. Will deliver for orders over $40.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Essi,American,Marina (S.F),Takeout,Yes,3330 Steiner St.,San Francisco,N/A,San Francisco,5-9 p.m. Wednesday-Sunday,415-624-3588,www.essisf.com/,Call ahead for larger family trays or curbside pick-up or just drop by for a la carte ordering.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Eternal,Vegan,Jack London (Oak),Takeout,Yes,247 Fourth St.,Oakland,N/A,East Bay,Noon-7 p.m. Monday-Friday; 11 a.m-8 p.m Saturday; 11 a.m.-7 p.m. Sunday,510-920-0836,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Eureka!,American,Mountain View,Delivery & Takeout,No,191 Castro St.,Mountain View,N/A,Peninsula,11 a.m.-9 p.m. daily,650-426-0582,www.eurekarestaurantgroup.com/locations/mountain-view/,20% off takeout orders.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Eureka!,American,Berkeley,Delivery & Takeout,No,2068 Center St.,Berkeley,N/A,East Bay,11 a.m.-9 p.m. daily,510-809-8282,www.eurekarestaurantgroup.com/locations/berkeley/,"20% off takeout, available for food only.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Evangeline Calistoga,"Creole, French",Calistoga,Delivery & Takeout,Yes,1226 Washington St.,Calistoga,N/A,North Bay,Lunch and dinner daily,707-341-3131,www.evangelinenapa.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Extreme Pizza,Pizza,Cow Hollow (S.F.),Delivery & Takeout,No,1980 Union St.,San Francisco,N/A,San Francisco,11 a.m.-11 p.m. daily,415-929-8234,www.extremepizza.com,Contactless pick-up and delivery available.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Extreme Pizza,Pizza,SoMa (S.F.),Delivery & Takeout,No,1062 Folsom St.,San Francisco,N/A,San Francisco,11 a.m.-11 p.m. daily,415-701-9000,www.extremepizza.com,Contactless pick-up and delivery available.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Extreme Pizza,Pizza,Western Addition (S.F.),Delivery & Takeout,No,1730 Fillmore St.,San Francisco,N/A,San Francisco,11 a.m.-10 p.m. Monday-Sunday,415-929-9900,www.extremepizza.com,Contactless pick-up and delivery available.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Falafel's Drive-In,Middle Eastern,San Jose,Delivery & Takeout,No,2301 Stevens Creek Blvd.,San Jose,N/A,South Bay,"10 a.m.-8 p.m. Monday-Saturday, 10 a.m.-6 p.m. Sunday",408-294-7886,www.falafelsdrivein.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Falafelle,Middle Eastern,Belmont,Delivery & Takeout,No,1035 Ralston Ave. #2209,Belmont,N/A,Peninsula,"11 a.m.-8:30 p.m. Tuesday-Friday; 11 a.m.-3:30 p.m., 5:30-8 p.m. Sunday",N/A,squareup.com/store/falafelle,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Farm and Flour,Bakery,Benicia,Delivery & Takeout,Yes,700 1st St.,Benicia,N/A,North Bay,7 a.m.-3 p.m. daily,707-750-5345,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Farm House,American,Belmont,Delivery & Takeout,Yes,1301 Sixth Ave.,Belmont,N/A,Peninsula,Noon-7:30 p.m. Tuesday-Sunday,650-593-7311,www.farmhousebelmont.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Farmhouse Kitchen,Thai,Jack London (Oak),Delivery & Takeout,No,336 Water St.,Oakland,N/A,East Bay,Lunch and dinner daily,510-419-0541,www.farmhousethai.com/oakland/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Farmhouse Kitchen SF,Thai,Mission (S.F.),Delivery & Takeout,No,710 Florida St.,San Francisco,N/A,San Francisco,11 a.m.-10 p.m. Monday-Friday; noon-10 p.m. Saturday and Sunday,415-814-2920,www.farmhousethai.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Farmstead,American,St. Helena,Delivery & Takeout,No,738 Main St.,St. Helena,N/A,North Bay,11:30 a.m.-8 p.m. daily,707-963-4555,www.longmeadowranch.com/eat-drink/restaurant/,"Visit longmeadowranch.com/togo. Choose pick-up or delivery. Browse the to-go menu and make your selections, which includes craft beers and Long Meadow Ranch wines. pick-up at Farmstead or have it delivered to your home.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Fast Food Francais (F3),"French, American",Sausalito,Takeout,Yes,39 Caledonia St.,Sausalito,N/A,North Bay,5-8 p.m. daily,415-887-9047,www.eatf3.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Fatted Calf,Deli,Hayes Valley (S.F.),Takeout,Yes,320 Fell St.,San Francisco,N/A,San Francisco,10:30 a.m.-6 p.m. daily,415-400-5614,www.fattedcalf.com,Call for curbside pick-up.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Feng Nian Chinese Restaurant,Chinese,Sausalito,Delivery & Takeout,No,2650 Bridgeway,Sausalito,N/A,North Bay,Lunch and dinner daily,415-331-5300,www.fengnian.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Fiddlers Green,"Irish, American",Millbrae,Delivery & Takeout,No,333 El Camino Real,Millbrae,N/A,Peninsula,11 a.m.-9 p.m. daily,650-697-3419,www.fiddlersgreenmillbrae.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Fiore Caffe,Italian,Mission (S.F.),Delivery & Takeout,No,3599 24th St.,San Francisco,N/A,San Francisco,5-10 p.m. Tuesday-Saturday,415-642-4822,www.caffefioresf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Fiorella,Italian,Richmond (S.F.),Delivery & Takeout,No,2339 Clement St.,San Francisco,N/A,San Francisco,5-9:30 p.m. daily,415-340-3049,www.fiorella-sf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Fiorella,Italian,Russian Hill (S.F.),Delivery & Takeout,No,2238 Polk St.,San Francisco,N/A,San Francisco,5-9:30 p.m. daily,415-829-7097,www.fiorella-sf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Fiorillo’s Restaurant,Italian,Santa Clara,Takeout,No,638 El Camino Real,Santa Clara,N/A,South Bay,11:30 a.m.-9 p.m. Tuesday-Thursday; 11:30 a.m.-10 p.m. Friday; 4-10 p.m. Saturday,408-984-0414,www.fiorillos.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Firebrand,Bakery,Uptown (Oak),Takeout,Yes,2343 Broadway Ave.,Oakland,N/A,Oakland,8 a.m.-2 p.m. daily,510-594-9213,www.firebrandbread.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Firepie,Pizza,Mission (S.F.),Delivery & Takeout,No,3498 Cesar Chavez,San Francisco,N/A,San Francisco,Noon-10 p.m. daily,415-213-2300,www.firepie.com,Free cheese pizzas for children under 13 years old; for pick-up only.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Fish and Bird Sousaku Izakaya,Japanese,Berkeley,Takeout,No,2451 Shattuck Ave.,Berkeley,N/A,East Bay,5-9 p.m. Tuesday-Sunday,510-705-1539,www.toasttab.com/fish-bird-sousaku-izakaya/v2/online-order#!/order,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Fisherman’s Pizzeria,"Pizza, Sandwiches, Pasta",Fisherman's Wharf (S.F.),Takeout,No,2800 Leavenworth St.,San Francisco,N/A,San Francisco,11 a.m.-midnight daily,415-928-2998,places.singleplatform.com/fishermans-pizzeria/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Fleming's Prime Steakhouse & Wine Bar,American,Palo Alto,Takeout,No,660 Stanford Shopping Center,Palo Alto,N/A,Peninsula,Noon-8 p.m. daily,650-329-8457,www.flemingssteakhouse.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Flights Restaurant Los Gatos,American,Los Gatos,Delivery & Takeout,No,165 Los Gatos Saratoga Rd.,Los Gatos,N/A,South Bay,4-8 p.m. daily,408-477-4632,www.flightsrestaurants.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Floodwater,American,Mill Valley,Delivery & Takeout,No,152 Shoreline Hwy.,Mill Valley,N/A,North Bay,4-midnight Monday-Friday; 11:30 a.m.-midnight Saturday and Sunday,415-843-4545,www.floodwatermv.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Florio,French,Lower Pacific Heights (S.F.),Delivery & Takeout,Yes,1915 Fillmore St.,San Francisco,N/A,San Francisco,5:30-7:30 p.m. daily,415-775-4300,www.floriosf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Flour Craft Bakery,Gluten-free Bakery,Mill Valley,Takeout,Yes,129 Miller Ave.  #300,Mill Valley,N/A,North Bay,8 a.m.-3 p.m. daily,415-453-3100,www.flourcraftbakery.com,Order online or by phone before arriving.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Flour Craft Bakery,Gluten-free Bakery,San Anselmo,Takeout,Yes,702 San Anselmo Ave.,San Anselmo,N/A,North Bay,8 a.m.-3 p.m. daily,415-384-8244,www.flourcraftbakery.com,Order online or by phone before arriving.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Fogo de Chao Brazilian Steakhouse,Brazilian,SoMa (S.F.),Delivery & Takeout,No,201 S. 3rd St.,San Francisco,N/A,San Francisco,11 a.m.-8 p.m. daily,415-427-0004,www.fogodechao.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
